,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,541.1540364027023,465.0177376270294,495.3157804608345,547.8690367937088,561.7261047363281,96.7083671092987,523.1992745399475,36.512033290241185,6
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,459.2917591333389,402.6100797653198,420.0140872001648,474.11982971429825,486.2331347465515,83.62305498123169,448.90179709593457,32.23063064613783,6
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,494.1276915073395,413.25483417510986,446.43958282470703,500.9803418517113,519.0847859382629,105.82995176315308,475.73385139306384,38.877469746507735,6
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,496.1025928258896,417.98700857162476,440.19640731811523,498.96246045827866,509.39180064201355,91.4047920703888,473.5101261138916,38.140926846664776,6
4,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,525.229683637619,451.7458827495575,475.6517995595932,532.4800299406052,549.0996379852295,97.353755235672,507.5545897086461,37.48180538261936,6
5,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,508.18289840221405,422.5058648586273,452.0944510102272,513.5752286314964,516.2231206893921,93.71725583076477,483.9776260455449,39.59616626762611,6
6,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,495.49743378162384,415.77168464660645,463.746264398098,498.01468801498413,509.9040687084198,94.13238406181335,478.11448915799457,33.03478241359604,6
7,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,517.8407100439072,428.40963411331177,457.6564550995827,526.3058472275734,564.9766829013824,136.56704878807068,499.29838891824085,49.1004079405923,6
8,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,502.39852380752563,423.81386637687683,498.12878012657166,502.8187930583954,505.5247006416321,81.71083426475525,486.53693280220034,31.45084531879459,5
9,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,502.3190064430237,417.973468542099,441.2468514442444,509.9012749195099,512.0759143829346,94.10244584083557,476.7033031463623,39.28318890028078,5
10,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,535.287166595459,435.8781955242157,448.8109576702118,536.9947278499603,554.106903553009,118.22870802879333,502.21559023857117,49.49491022411947,5
11,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,534.4257731437683,445.77459049224854,465.73120617866516,566.5517098903656,567.5553588867188,121.78076839447021,516.0077277183533,51.012741531736516,5
12,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,569.6179599761963,469.74266505241394,478.7853307723999,571.2016062736511,601.401195526123,131.6585304737091,538.1497515201569,53.45480772510678,5
13,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,538.7513976097107,472.80243611335754,475.7944691181183,547.6816966533661,550.0932567119598,77.2908205986023,517.0246512413025,35.10262337108621,5
14,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,554.0218472480774,475.11174750328064,498.0317418575287,564.5988690853119,567.3526980876923,92.24095058441162,531.8233807563781,37.914169239260545,5
