,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,254.9926062822342,229.30324292182922,249.36017072200775,260.7639543414116,268.51433420181274,39.21109127998352,253.80564494132994,10.455728272082833,10
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,172.75882863998413,160.91017484664917,171.00327903032303,174.62092912197113,177.52840375900269,16.618228912353516,171.8963846683502,4.756242771598103,10
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,168.06645023822784,150.95761346817017,159.4697779417038,172.2659639120102,173.73181557655334,22.77420210838318,165.36781339645387,7.681178995196989,10
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,163.44466090202332,158.5806884765625,160.06364184617996,168.32387030124664,183.54247331619263,24.961784839630127,165.40435740947723,7.178271336500959,10
4,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,162.77498733997345,156.92724204063416,158.60103458166122,169.91816687583923,178.72228288650513,21.79504084587097,164.6273190021515,6.83432832380874,10
5,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,166.16222405433655,151.33313131332397,159.40896153450012,172.3239877820015,179.11177444458008,27.778643131256104,165.78877849578856,8.275786839293252,10
6,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,166.89877951145172,159.86818289756775,164.57144004106522,169.40554523468018,197.24657154083252,37.37838864326477,169.96574397087096,10.361871336385528,10
7,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,169.53000378608704,157.50400185585022,164.76076781749725,173.14765202999115,189.89150977134705,32.387507915496826,170.26121466159822,8.309487030496072,10
8,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,167.08207488059998,151.98052215576172,161.80356061458588,173.57667124271393,177.448157787323,25.46763563156128,166.83717305660247,7.599533307272991,10
9,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,164.78253042697906,149.35159730911255,157.56719821691513,170.50158548355103,173.8829641342163,24.53136682510376,163.64224643707274,7.856751618642751,10
10,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,170.47322809696198,159.075097322464,168.26660734415054,175.59907621145248,178.73986625671387,19.664768934249878,170.90027210712432,5.633709292717371,10
11,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,188.37506222724915,178.0415337085724,183.98184567689896,197.06635212898254,211.49462461471558,33.45309090614319,191.10323736667632,9.864416910617756,10
12,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,180.5165114402771,163.68999791145325,172.85013091564178,184.05712801218033,224.78252744674683,61.09252953529358,184.46404979228973,18.292879660865143,10
13,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,190.70534217357635,177.93827986717224,184.8231019973755,193.31133556365967,207.7212188243866,29.782938957214355,190.98085641860962,8.323171540709497,10
14,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,181.66859781742096,160.7372543811798,176.36264789104462,182.86318826675415,193.83393001556396,33.096675634384155,178.79464614391327,9.71184285257993,10
