query_num|execution_time(s)
Q21|0.13170218467712402
Q14|0.1169898509979248
Q22|0.13127708435058594
Q5|0.7410385608673096
Q1|0.7101211547851562
Q1|0.07493853569030762
Q1|0.09472155570983887
Q1|0.10508084297180176
Q1|0.08643341064453125
Q1|0.09133315086364746
Q1|0.07395434379577637
Q1|0.09076714515686035
Q1|0.04109907150268555
Q1|0.0664219856262207
Q1|0.08749246597290039
Q1|0.0880122184753418
Q1|0.0380864143371582
Q1|0.03388524055480957
Q1|0.03860330581665039
Q1|0.054254770278930664
Q1|0.030785322189331055
Q1|0.030327320098876953
Q1|0.025247573852539062
Q1|0.03781700134277344
Q1|0.02460455894470215
Q1|0.7140974998474121
Q1|0.09997224807739258
Q1|0.11059927940368652
Q1|0.08186507225036621
Q1|0.05431389808654785
Q1|0.06896376609802246
Q1|0.05638766288757324
Q1|0.07572031021118164
Q1|0.0312347412109375
Q1|0.04417109489440918
Q1|0.02391791343688965
Q1|0.059274911880493164
Q1|0.025075912475585938
Q1|0.021831512451171875
Q1|0.06954789161682129
Q1|0.023469924926757812
Q1|0.07279515266418457
Q1|0.018827199935913086
Q1|0.019179105758666992
Q1|0.03277945518493652
Q1|0.018547773361206055
Finished run 1.8428730964660645
Q1|0.6567482948303223
Q2|0.3993563652038574
Q3|0.11644244194030762
Q4|0.11850452423095703
Q5|0.24964165687561035
Q6|0.09870767593383789
Q7|0.2953336238861084
Q8|0.7883365154266357
Q9|0.05901598930358887
Q10|0.04179835319519043
Q11|0.0667104721069336
Q12|0.04113459587097168
Q13|0.022635221481323242
Q14|0.024021148681640625
Q16|0.04850506782531738
Q17|0.07250571250915527
Q18|0.03253364562988281
Q19|0.030111074447631836
Q20|0.053401947021484375
Q21|0.14819884300231934
Finished run total time: 4.343332290649414
