,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,285.16137433052063,279.9835925102234,281.81988602876663,293.0706565976143,508.64837622642517,228.66478371620178,327.980930018425,86.79650113829885,10
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,221.7887020111084,217.44513630867004,219.48278641700745,225.6431891322136,451.17238545417786,233.7272491455078,260.0864497423172,79.749198136079,10
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,230.8256356716156,216.52776885032654,221.6232425570488,252.94260996580124,455.3972005844116,238.86943173408508,269.6387147665024,80.27477063255219,10
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,217.35401034355164,212.70601415634155,215.39807951450348,220.01347494125366,460.18349599838257,247.47748184204102,250.23988021047492,78.70366589094866,19
4,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,234.4312003850937,225.86197447776794,230.07334631681442,356.47533082962036,477.7896394729614,251.92766499519348,296.5367883205414,101.41125242936123,10
5,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,243.82448256015778,233.2327160835266,237.83809715509415,368.40869373083115,501.3754506111145,268.1427345275879,306.7748818397522,104.41884598407694,10
6,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,240.62866723537445,233.38435792922974,237.36275446414948,384.30529177188873,530.2225611209869,296.8382031917572,313.7248795747757,115.70524660679474,10
7,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,239.19166088104248,233.31303191184998,236.94404989480972,371.3267716765404,508.01331305503845,274.7002811431885,307.90437667369844,108.87930655980361,10
8,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,236.3105206489563,232.78414249420166,234.90844225883484,376.40523171424866,505.07650327682495,272.2923607826233,306.3178171873093,110.18487054141583,10
9,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,380.24096035957336,380.24096035957336,380.24096035957336,380.24096035957336,380.24096035957336,0.0,380.24096035957336,0.0,1
10,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,380.0742619037628,380.0742619037628,380.0742619037628,380.0742619037628,380.0742619037628,0.0,380.0742619037628,0.0,1
11,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,372.1553394794464,372.1553394794464,372.1553394794464,372.1553394794464,372.1553394794464,0.0,372.1553394794464,0.0,1
12,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,387.89587211608887,387.89587211608887,387.89587211608887,387.89587211608887,387.89587211608887,0.0,387.89587211608887,0.0,1
13,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,376.7198989391327,376.7198989391327,376.7198989391327,376.7198989391327,376.7198989391327,0.0,376.7198989391327,0.0,1
14,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,375.56044149398804,375.56044149398804,375.56044149398804,375.56044149398804,375.56044149398804,0.0,375.56044149398804,0.0,1
