,Parameter Settings,Name,Median (s),Minimum (s),Q1 (s),Q3 (s),Maximum (s),Range (max-min),Average (s),Standard Deviation,N (num samples)
0,"('4m', 'true', '200', '1', '1g', '1', '2', '1g', 'lz4', '0.6', '0.5', 'false', '48m', '128', 'true', '32k', 'true', '100', '1')",default,539.280002951622,519.438313961029,534.7750771045685,545.129025220871,562.7944362163544,43.35612225532532,540.1908150911331,13.112993079735897,6
1,"('14m', 'false', '20', '3', '4g', '8', '8', '4g', 'snappy', '0.8', '0.7', 'true', '80m', '192', 'false', '48k', 'false', '50', '1')",hand_tuning1,488.8954985141754,465.2882978916168,484.92933666706085,511.85458767414093,557.3580973148346,92.06979942321777,500.5920487244924,29.855751796396397,6
2,"('24m', 'false', '60', '3', '4g', '3', '8', '7g', 'snappy', '0.5', '0.6', 'true', '72m', '224', 'false', '32k', 'false', '80', '1')",hand_tuning2,531.5493676662445,474.08079385757446,510.99155992269516,556.2205349802971,573.5093462467194,99.4285523891449,529.8786816994349,33.411837976630515,6
3,"('6m', 'false', '60', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.4', 'true', '64m', '192', 'true', '96k', 'true', '60', '1')",random_search,510.45066463947296,462.17978620529175,486.9818471670151,537.0284198522568,574.5771071910858,112.39732098579407,513.7841337124506,37.39743904313379,6
4,"('6m', 'false', '100', '3', '4g', '3', '7', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '128', 'true', '96k', 'true', '70', '1')",markov1,513.0682142972946,421.6753532886505,484.44925540685654,533.0280925035477,599.5174148082733,177.8420615196228,510.32003072897595,54.37875791878351,6
5,"('6m', 'false', '60', '3', '4g', '1', '7', '1g', 'snappy', '0.8', '0.4', 'true', '48m', '224', 'true', '96k', 'true', '70', '1')",markov2,498.3589961528778,419.5644750595093,480.63082325458527,507.33684211969376,638.4255423545837,218.86106729507446,506.62648324171704,65.90169331303414,6
6,"('6m', 'false', '60', '3', '4g', '1', '8', '1g', 'snappy', '0.6', '0.3', 'true', '56m', '192', 'true', '112k', 'true', '50', '1')",markov3,496.0614171028137,405.2796702384949,493.99659395217896,540.862500667572,634.5459978580475,229.2663276195526,514.1492359638214,74.55851299236976,5
7,"('8m', 'false', '100', '2', '4g', '1', '6', '1g', 'snappy', '0.5', '0.4', 'true', '48m', '256', 'true', '112k', 'true', '70', '1')",markov4,512.2961852550507,418.11077785491943,505.00592851638794,512.5580804347992,549.6511242389679,131.54034638404846,499.524419260025,43.597955990764525,5
8,"('6m', 'false', '60', '4', '4g', '4', '8', '1g', 'snappy', '0.7', '0.4', 'true', '64m', '128', 'true', '96k', 'true', '50', '1')",markov5,480.9241349697113,415.14675545692444,479.05797934532166,493.35565400123596,497.39405369758606,82.24729824066162,473.1757154941559,29.8521592481072,5
9,"('6m', 'false', '60', '3', '4g', '4', '7', '1g', 'snappy', '0.7', '0.4', 'true', '80m', '160', 'true', '64k', 'true', '60', '1')",markov6,489.8922255039215,426.9418261051178,476.4852077960968,494.0776846408844,511.34455919265747,84.40273308753967,479.7483006477356,28.655629603019236,5
10,"('22m', 'true', '100', '3', '4g', '2', '5', '8g', 'snappy', '0.4', '0.5', 'false', '80m', '160', 'true', '32k', 'false', '120', '1')",random_forest1,520.9051973819733,434.1567018032074,503.59770250320435,521.9345667362213,583.5461678504944,149.389466047287,512.8280672550202,47.79874787319162,5
11,"('6m', 'true', '300', '1', '2g', '6', '3', '7g', 'lz4', '0.7', '0.8', 'false', '56m', '160', 'true', '48k', 'true', '70', '1')",random_forest2,510.1255397796631,439.3416564464569,501.1635539531708,519.4391560554504,578.6597831249237,139.3181266784668,509.745937871933,44.43791354391302,5
12,"('14m', 'true', '260', '4', '4g', '3', '6', '1g', 'snappy', '0.5', '0.5', 'false', '80m', '256', 'false', '96k', 'false', '120', '1')",random_forest3,529.1865208148956,454.51999616622925,527.4482409954071,552.7771174907684,574.6155931949615,120.0955970287323,527.7094937324524,40.46608541400159,5
13,"('4m', 'false', '380', '2', '2g', '2', '7', '4g', 'snappy', '0.7', '0.3', 'true', '80m', '192', 'false', '112k', 'true', '70', '1')",random_forest4,532.3951561450958,466.08160305023193,517.5176448822021,540.7889640331268,555.5433428287506,89.46173977851868,522.4653421878814,30.763992578730477,5
14,"('24m', 'true', '180', '3', '3g', '5', '6', '4g', 'lz4', '0.7', '0.5', 'false', '88m', '160', 'true', '48k', 'true', '120', '1')",random_forest5,554.9965169429779,531.7843959331512,539.2630355358124,558.661050081253,561.1247406005859,29.340344667434692,549.1659478187561,11.552932491121032,5
